corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.5018147106083277,6.576121481416749,5.076534739205119,7.333716466632764,2.5930764597949665,4.838846004868875,0.5999694628032692,1.5516563620681896,MAR,H2 Gas,495,#E63946,Current trajectory,2025
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.7008357988344436,6.510627960938601,5.939478091640218,8.149111221997824,2.4932603978720493,4.293352516826255,0.21629999999999996,2.018227081061793,MAR,NH3,1475,#F4A261,Current trajectory,2025
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,127,4.01935381372421,6.935398376264081,5.994342008836538,8.52299582443132,2.2546311193174824,4.503639909846715,1.572397422261285,2.1907329770301285,USA,NH3,5462,#2196F3,Current trajectory,2025
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.4705275149474986,6.249173949979171,5.323326664294645,6.7470347255466665,2.3406834132922794,3.880936756837732,0.8174036413688548,2.2533403064033832,GBR,NH3,216,#4CAF50,Current trajectory,2025
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.798755874445293,7.7336886003902165,6.706180339705357,8.755832831571446,2.8283618175411376,4.735924484365896,0.6493595721292902,2.5440020189507107,TUR,NH3,708,#9C27B0,Current trajectory,2025
EU,EU Domestic,EU Domestic Production,,,27,23,2.2936079168814496,5.040068160882827,4.3588698506454335,5.979229542251017,2.2936079168814496,5.040068160882827,0.0,0.0,-99,Domestic,326,#009688,Current trajectory,2025
