,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,country_cap_kt,within_cap,cap_rank,Year
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,3070.0786014166206,1.811467115804959,2.1860223448754805,2.9490288027240097,,1.811467115804959,NH3,9125.351173252231,,7433.328206704846,True,1172.0,2040
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,3070.0786014166206,1.7920754734402715,2.170228635011292,2.933235092859821,,1.7920754734402715,NH3,8793.328680760807,,7433.328206704846,True,1913.0,2040
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,---,Ocean,Other,,,1812.096798627161,1.7740710156675836,2.1490740188429576,2.8474198042230148,,1.7740710156675836,NH3,8630.647372443753,,,True,520.0,2040
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,1774.5639437592008,1.773580706451953,2.148361565053392,2.8442141451786656,,1.773580706451953,NH3,8634.102324294512,,8522.47753481828,True,350.0,2040
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1774.5639437592008,1.773580706451953,2.148361565053392,2.8442141451786656,,1.773580706451953,NH3,8570.694419484864,,8522.47753481828,True,3693.0,2040
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1518.829920363939,1.6260381070609706,2.059464174660672,2.7368816763773327,,1.6260381070609706,NH3,9111.49936849554,,8522.47753481828,True,3277.0,2040
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1774.5639437592008,1.773580706451953,2.148361565053392,2.8442141451786656,,1.773580706451953,NH3,8633.34092049338,,8522.47753481828,True,3696.0,2040
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,---,Ocean,Other,,,1054.0007902847888,1.7550442837093922,2.130628034662596,2.7656418814511845,,1.7550442837093922,NH3,9454.94253243068,,,True,4146.0,2040
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1340.3924033981914,1.76701591768673,2.138810202555208,2.8016348950367327,,1.76701591768673,NH3,8788.878518467676,,8522.47753481828,True,2676.0,2040
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,2490.9086794794075,1.8011038399895802,2.173466171280801,2.910349412028351,,1.8011038399895802,NH3,8599.240208373136,,8522.47753481828,True,3514.0,2040
