,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-17.0,15.0,1737.034935951233,131.02809,3864,-17.395492323651652,14.676105,55.64467169622003,73.1189,Senegal,SEN,Africa,Sub-Saharan Africa,,,3070.0786014166206,1.7010564234107886,2.167020537851587,2.9300269957001164,,1.7010564234107886,NH3,4111.386903647267,,2.217,0.261609984130378,0.3029608948220467,0.5235772195482912,,0.261609984130378,2.478609984130378,True,76.2,True,425.0,A
1,-16.0,13.0,1656.7350125312803,90.02382,6886,-16.559203892256697,13.37916,73.71693023377476,146.8141,Senegal,SEN,Africa,Sub-Saharan Africa,,,3070.0786014166206,1.7600125834107887,2.167020537851587,2.9300269957001164,,1.7600125834107887,NH3,4225.046147113599,,2.217,0.261609984130378,0.3029608948220467,0.5235772195482912,,0.261609984130378,2.478609984130378,True,76.2,True,446.0,A
2,-16.0,14.0,1681.5549540519714,127.459175,3066,-16.574810909776545,13.44084,87.70754382385651,127.0862,Senegal,SEN,Africa,Sub-Saharan Africa,,,1812.096798627161,1.7318399756675835,2.1490740188429576,2.8474198042230148,,1.7318399756675835,NH3,4135.214799500543,,2.217,0.1849802365617241,0.2189770268355378,0.4395688127162943,,0.1849802365617241,2.401980236561724,True,76.2,True,436.0,A
3,-16.0,15.0,1703.454933166504,159.9279,3864,-17.395492323651652,14.676105,154.4141606332186,214.0003,Senegal,SEN,Africa,Sub-Saharan Africa,,,1774.5639437592008,1.773580706451953,2.148361565053392,2.8442141451786656,,1.773580706451953,NH3,4046.2548120025817,,2.217,0.1826957081518924,0.2164713035242801,0.4370739325115619,,0.1826957081518924,2.3996957081518926,True,76.2,True,440.0,A
4,-16.0,17.0,1756.014952659607,269.54532,6897,-16.113889378512603,18.005648335,111.95514811255713,122.6027,Mauritania,MRT,Africa,Sub-Saharan Africa,,,1774.5639437592008,1.727762866451953,2.148361565053392,2.8442141451786656,1.604777790382114,1.604777790382114,H2 Gas,3871.194475955285,,2.217,0.1826957081518924,0.2164713035242801,0.4370739325115619,0.0309695558076422,0.0309695558076422,2.2479695558076425,True,3185.6,True,410.0,A
5,-16.0,18.0,1757.839994430542,396.4073,3132,-16.03128134356399,18.014364999999998,3.674499776085456,4.7238,Mauritania,MRT,Africa,Sub-Saharan Africa,,,1518.829920363939,1.6298171470609706,2.066077494660672,2.7652244763773326,1.5703917779785432,1.5703917779785432,H2 Gas,3785.229444946358,,0.5509999999999999,0.1401079494124,0.145398296257512,0.1796918247159998,0.0302818355595708,0.0302818355595708,0.5812818355595708,True,3185.6,True,390.0,A
6,-16.0,19.0,1778.2800793647766,427.02444,3132,-16.03128134356399,18.014364999999998,109.14625453168406,122.9917,Mauritania,MRT,Africa,Sub-Saharan Africa,,,1774.5639437592008,1.7280740664519534,2.148361565053392,2.8442141451786656,1.5364628916196343,1.5364628916196343,H2 Gas,3700.407229049086,,0.5509999999999999,0.1556669295743478,0.1624713035242801,0.19645404096466,0.0296032578323926,0.0296032578323926,0.5806032578323926,True,3185.6,True,370.0,A
7,-15.0,13.0,1653.815050125122,67.05772,3276,-15.580704635140645,11.84803,142.2209160692044,231.341,Senegal,SEN,Africa,Sub-Saharan Africa,,,1054.0007902847888,1.7614024437093925,2.130628034662596,2.7656418814511845,,1.7614024437093925,NH3,4162.922531658306,,2.217,0.1388568431180019,0.1683659329830294,0.389305836538241,,0.1388568431180019,2.355856843118002,True,76.2,True,447.0,A
8,-15.0,14.0,1673.8899874687197,151.15063,3066,-16.574810909776545,13.44084,181.22184316724255,242.614,Senegal,SEN,Africa,Sub-Saharan Africa,,,1340.3924033981914,1.76701591768673,2.138810202555208,2.8016348950367327,,1.76701591768673,NH3,4072.1886920892584,,2.217,0.1562762878192875,0.1874856653788602,0.408262178496683,,0.1562762878192875,2.3732762878192877,True,76.2,True,444.0,A
9,-15.0,15.0,1691.77508354187,138.37459,3066,-16.574810909776545,13.44084,242.17007414402153,323.4288,Senegal,SEN,Africa,Sub-Saharan Africa,,,2490.9086794794075,1.7815379489434056,2.159904285604903,2.8967875263524534,1.6492239603664638,1.6492239603664638,H2 Gas,3982.309900916159,,2.217,0.2263155562240168,0.2642950491334407,0.4848062462088507,0.0318584792073292,0.0318584792073292,2.248858479207329,True,76.2,True,426.0,A
10,-15.0,17.0,1716.595025062561,240.05795,3132,-16.03128134356399,18.014364999999998,156.8341272760368,274.2898,Mauritania,MRT,Africa,Sub-Saharan Africa,,,1187.6585287345797,1.7641896248754867,2.1346920888478795,2.783471779621329,1.5784459434243108,1.5784459434243108,H2 Gas,3805.3648585607766,,2.217,0.1469856777768455,0.1772890301506132,0.3981478734245037,0.0304429188684862,0.0304429188684862,2.247442918868486,True,3185.6,True,412.0,A
11,-14.0,13.0,1650.8949136734009,114.62069,3276,-15.580704635140645,11.84803,213.958215620092,322.3593,Senegal,SEN,Africa,Sub-Saharan Africa,,,1187.6585287345797,1.7641896248754867,2.1346920888478795,2.783471779621329,,1.7641896248754867,NH3,4102.085045949495,,2.217,0.1469856777768455,0.1772890301506132,0.3981478734245037,,0.1469856777768455,2.3639856777768458,True,76.2,True,448.0,A
