corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.8788490778068723,5.34202238323313,4.63440488752062,5.582151634468406,1.7915605095632263,2.9635532877147495,0.8174036413688548,2.2533403064033832,GBR,NH3,216,#4CAF50,Current trajectory,2035
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.088740594101594,6.442452440053685,5.25639704733517,7.608258880534527,2.188764698619252,3.421248202636123,0.6493595721292902,2.5440020189507107,TUR,NH3,708,#9C27B0,Current trajectory,2035
EU,EU Domestic,EU Domestic Production,,,27,25,1.7811901648924415,3.7625949806183243,3.402313008078677,4.461645247078943,1.7811901648924415,3.7625949806183243,0.0,0.0,-99,Domestic,331,#009688,Current trajectory,2035
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.734506640732681,4.729798375646293,3.8257341732162526,5.295916577750372,1.8351973942543727,3.0068482379119583,0.5999694628032692,1.5671986811187286,MAR,H2 Gas,522,#E63946,Current trajectory,2040
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.418239252728737,4.919806001589638,4.408742912384466,5.923503678177938,1.7411430535621824,2.682365166474252,0.21629999999999996,2.012462281812983,MAR,NH3,1508,#F4A261,Current trajectory,2040
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.359440341990362,5.273277222321449,4.56611394607704,6.371155000406204,1.5912576559875036,2.88388205579083,1.572397422261285,2.1882726388553237,USA,NH3,5536,#2196F3,Current trajectory,2040
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.747554297693454,5.019597168916162,4.407321179067616,5.290416081421014,1.6700638625642141,2.6560328552519397,0.8174036413688548,2.2533403064033832,GBR,NH3,216,#4CAF50,Current trajectory,2040
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.9325886886816273,6.0906993475199815,4.889659196576138,7.354944003322281,2.00012833414557,3.079557444259632,0.6493595721292902,2.5440020189507107,TUR,NH3,708,#9C27B0,Current trajectory,2040
EU,EU Domestic,EU Domestic Production,,,27,25,1.666223815186049,3.444917787753001,3.07613834223626,4.040624934733097,1.666223815186049,3.444917787753001,0.0,0.0,-99,Domestic,331,#009688,Current trajectory,2040
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.6126892518372333,4.399504566177523,3.5603724278920947,4.930240141355592,1.7164831935367095,2.678396461994021,0.5999694628032692,1.5671986811187286,MAR,H2 Gas,522,#E63946,Current trajectory,2045
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.1873626260025363,4.627589339169474,4.142640352998662,5.5022218089792965,1.5465742251749812,2.3876756786463895,0.21629999999999996,2.012462281812983,MAR,NH3,1508,#F4A261,Current trajectory,2045
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.255758088721056,4.9561663556254665,4.298714925616837,5.98770177337011,1.4875605071663855,2.5803743851514978,1.572397422261285,2.1882726388553237,USA,NH3,5536,#2196F3,Current trajectory,2045
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.6327750479938263,4.743325421857866,4.143751486371802,5.049785603708536,1.5644950630586938,2.375856917153735,0.8174036413688548,2.2533403064033832,GBR,NH3,216,#4CAF50,Current trajectory,2045
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.795041217019982,5.7540249549071945,4.5798851447068785,6.993843112820539,1.7780938118809682,2.762686195361093,0.6493595721292902,2.5440020189507107,TUR,NH3,708,#9C27B0,Current trajectory,2045
EU,EU Domestic,EU Domestic Production,,,27,25,1.5662356749962216,3.159057423290445,2.7883673374773092,3.680756041170421,1.5662356749962216,3.159057423290445,0.0,0.0,-99,Domestic,331,#009688,Current trajectory,2045
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.4739700035475316,4.102667891976784,3.316414133277005,4.599161582325316,1.5837950039845161,2.39040423136319,0.5999694628032692,1.5671986811187286,LBY,H2 Gas,522,#E63946,Current trajectory,2050
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,1.9851801209051958,4.3737247183165096,3.9015007163015873,5.113710639926877,1.3767537770047604,2.1283550863103797,0.21629999999999996,2.012462281812983,MAR,NH3,1508,#F4A261,Current trajectory,2050
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.1528457665909073,4.679422544323661,4.062381529627325,5.6317258007775015,1.3767537770047604,2.314828150162133,1.572397422261285,2.1882726388553237,CHL,NH3,5536,#2196F3,Current trajectory,2050
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.5316966911440053,4.485031137487327,3.9262143002058174,4.811863680162641,1.4720864005303511,2.145602025764386,0.8174036413688548,2.2533403064033832,GBR,NH3,216,#4CAF50,Current trajectory,2050
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.6730830555381977,5.45713115718178,4.29628065714954,6.602528514186184,1.5837950039845161,2.4909602807663713,0.6493595721292902,2.5440020189507107,TUR,NH3,708,#9C27B0,Current trajectory,2050
EU,EU Domestic,EU Domestic Production,,,27,25,1.478577671097381,2.855808031671728,2.507603637075987,3.3258915976913035,1.478577671097381,2.855808031671728,0.0,0.0,-99,Domestic,331,#009688,Current trajectory,2050
