corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.7757390691611628,4.030713614673569,3.6605583057945137,5.068332966827084,1.7201078042623001,2.3848853690468066,0.5999694628032692,1.569074985112832,MAR,H2 Gas,525,#E63946,Current trajectory,2035
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.585208387261266,4.67535025989339,4.401644823096328,5.346082727354965,1.7260840365775605,2.836664142612437,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Current trajectory,2035
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.32071880546847,5.143754493154553,4.5931196488893296,6.073736906178482,1.4070107795316795,2.835416048412994,1.572397422261285,2.1882726388553237,JPN,NH3,5536,#2196F3,Current trajectory,2035
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.7714147235586855,4.5856869315086275,4.125529903397446,4.737511480303164,1.6103108949604983,2.6767250173222963,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Current trajectory,2035
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.5450728430212664,4.458256194124023,4.151530860264879,5.840456837367637,1.4374081073613427,3.013993405380076,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Current trajectory,2035
EU,EU Domestic,EU Domestic Production,,,27,25,1.7152200176033814,3.151068002132595,2.8375574965608146,3.506388308695484,1.7152200176033814,3.151068002132595,0.0,0.0,IRL,Domestic,331,#009688,Current trajectory,2035
