corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.612689251837233,4.399504566177523,3.5603724278920943,4.93024014135559,1.7164831935367095,2.678396461994021,0.5999694628032692,1.5671986811187286,MAR,H2 Gas,522,#E63946,Ambitious,2045
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.1873626260025363,4.627589339169473,4.142640352998662,5.5022218089792965,1.546574225174981,2.387675678646389,0.21629999999999996,2.012462281812983,MAR,NH3,1508,#F4A261,Ambitious,2045
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.2557580887210555,4.9561663556254665,4.2989121010221325,5.987701773370111,1.4875605071663858,2.579962242805885,1.572397422261285,2.189011238157981,USA,NH3,5528,#2196F3,Ambitious,2045
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.6327750479938263,4.743325421857866,4.143751486371802,5.049785603708536,1.5644950630586936,2.375856917153735,0.8174036413688548,2.2533403064033832,GBR,NH3,216,#4CAF50,Ambitious,2045
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.795041217019982,5.7540249549071945,4.579885144706879,6.993843112820539,1.7780938118809677,2.762686195361093,0.6493595721292902,2.5440020189507107,TUR,NH3,708,#9C27B0,Ambitious,2045
EU,EU Domestic,EU Domestic Production,,,27,23,1.5662356749962214,3.1616562940622157,2.7874965075567824,3.682569615740407,1.5662356749962214,3.1616562940622157,0.0,0.0,-99,Domestic,328,#009688,Ambitious,2045
