,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-116.0,31.0,1938.1499791145325,41.59796,4109,-116.62098498204458,31.846935,110.92413185891088,161.43370000000002,Mexico,MEX,North America,North America,,,101127364.81288458,47110955060.16842,5597885700.407565,28.560641328610032,0.13068384554032209,249967.13657762288,520945185559.5404,44799388337.40045,228.5683078438799,Solar,2197182984.716015,7795068685.12358,1.948767171280895,2827.3686488189364,1.7486780330522664,2.127311716079995,2.886236029656084,,1.7486780330522664,NH3,9459.172089559126,,6994712132.209065,14789780817.332645,3.697445204333161,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,92.0,B
1,-116.0,32.0,1962.969920635224,123.23072,4109,-116.62098498204458,31.846935,61.13083211777302,110.3268,Mexico,MEX,North America,North America,,,99848702.69258821,46515280548.15199,5527105606.294523,28.19951839946186,0.38714072464858085,84379.30857395375,175851094524.95563,16161256963.8776,82.45539267284491,Solar,2197182984.716015,7724288591.010538,1.9310721477526345,2827.3686488189364,1.7077925130522664,2.127311716079995,2.886236029656084,,1.7077925130522664,NH3,9386.527142443947,,6831170052.209065,14555458643.219604,3.638864660804901,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,58.0,B
2,-115.0,31.0,2002.390022277832,152.91353,4109,-116.62098498204458,31.846935,180.4734575237489,252.5849,Mexico,MEX,North America,North America,,,97883028.69040412,45599556305.251144,5418296102.468836,27.64436786973896,0.4803920224824824,68000.01902166862,141715759168.58594,13328486876.495825,68.00248406375422,Solar,2197182984.716015,7615479087.184851,1.9038697717962128,1569.386846029477,1.7496153934145078,2.1072736795084905,2.7948754840037466,,1.7496153934145078,NH3,9386.805995788787,,6998461573.658031,14613940660.842882,3.6534851652107205,2.217,0.17020892593301293,0.20277351691768636,0.4234472122133932,,0.17020892593301293,2.387208925933013,True,2259.1,True,61.0,B
3,-115.0,32.0,1942.5300097465515,113.28081,4109,-116.62098498204458,31.846935,154.2342521345406,327.2231,Mexico,MEX,North America,North America,,,100899342.1036377,47004728939.98913,5585263547.483644,28.496242589202268,0.3558821604887012,91790.68324697267,191296804737.69864,17443041525.60041,88.9951098244919,Solar,2197182984.716015,7782446532.199658,1.9456116330499147,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9314.846790359112,,6996196208.772333,14778642740.971992,3.694660685242998,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,88.0,B
4,-114.0,27.0,1981.584963798523,283.14896,4618,-115.18546331293643,28.039035,164.23251780616548,193.8654,Mexico,MEX,North America,North America,,,98910722.26561779,46078315204.260315,5475183881.357704,27.934611639580126,0.8895386926075902,36723.15430249327,76533062283.18246,7919206668.050805,40.40411565332044,Solar,2197182984.716015,7672366866.073719,1.9180917165184297,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9600.05847290474,,6996196208.772333,14668563074.846052,3.667140768711513,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,67.0,B
5,-114.0,28.0,1956.765022277832,126.55517,4618,-115.18546331293643,28.039035,116.6631350289475,278.1711,Mexico,MEX,North America,North America,,,100165322.7487888,46662780418.898285,5544632048.206137,28.288939021459885,0.3975847923458074,82162.76702619494,171231700697.00308,15777909897.82283,80.49954029501446,Solar,2197182984.716015,7741815032.922152,1.935453758230538,1276.1199677662548,1.7447788898841217,2.1002321378758406,2.7636376680323638,,1.7447788898841217,NH3,9528.404031203272,,6979115559.536487,14720930592.458637,3.68023264811466,2.217,0.1523664684990496,0.18319478633966058,0.4040046052882615,,0.1523664684990496,2.3693664684990496,True,2259.1,True,74.0,B
6,-112.0,25.0,1953.4800863265991,87.35044,2692,-112.11642416049798,24.783635,26.69819015542594,33.6023,Mexico,MEX,North America,North America,,,100333758.90130833,46741247686.650566,5553955798.818696,28.336509177646413,0.274419500591836,119039.1593753906,248084119451.4686,22155618823.713432,113.03887154955835,Solar,2197182984.716015,7751138783.534711,1.9377846958836777,1531.853991161517,1.6320308921930833,2.0698926455942455,2.791201875929235,,1.6320308921930833,NH3,9588.882370368028,,6528123568.772333,14279262352.307045,3.569815588076761,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,51.0,B
7,-112.0,26.0,1944.720025062561,120.59638,4520,-112.08568043209875,27.189085,132.02340953042744,243.1007,Mexico,MEX,North America,North America,,,100785715.92519839,46951795317.16589,5578973792.374784,28.46415200191217,0.37886470145752305,86222.51305280055,179692433480.16205,16480036023.002108,84.08181644388831,Solar,2197182984.716015,7776156777.090799,1.9440391942726998,811.2908376871048,1.7342095315596173,2.0848136221079963,2.696223046769254,,1.7342095315596173,NH3,9518.28899244151,,6936838126.238469,14712994903.32927,3.678248725832317,2.217,0.1240989746395439,0.15216242306517794,0.37327099278529147,,0.1240989746395439,2.341098974639544,True,2259.1,True,73.0,B
8,-112.0,29.0,1946.9100403785703,133.95264,2922,-110.87482812626264,27.9124,163.31869329940147,264.32809999999995,Mexico,MEX,North America,North America,,,100672345.37548967,46898980780.93867,5572698187.544815,28.43213360992253,0.4208246297529583,77625.36780664042,161775512532.626,14993174470.646122,76.49578811554144,Solar,2197182984.716015,7769881172.26083,1.9424702930652076,1097.6824508005077,1.7412614302877296,2.095104927388756,2.7410891305437195,,1.7412614302877296,NH3,9307.033529412352,,6965045721.150918,14734926893.411747,3.6837317233529374,2.217,0.14151334335632365,0.1712821554610088,0.392194642489606,,0.14151334335632365,2.3585133433563237,True,2259.1,True,78.0,B
9,-112.0,31.0,1938.8799262046807,89.07595,2922,-110.87482812626264,27.9124,359.21658129796447,452.2034,Mexico,MEX,North America,North America,,,101089292.50903438,47093218786.717186,5595778215.398943,28.549888854076244,0.27984035013153175,116733.22539552477,243278426905.33575,21756811489.562008,111.0041402528674,Solar,2197182984.716015,7792961200.114958,1.9482403000287394,2248.198726881724,1.7580401265521288,2.1195091645225985,2.850130467695813,,1.7580401265521288,NH3,9166.763686933527,,7032160506.208515,14825121706.323473,3.706280426580868,2.217,0.211532193677466,0.24809153921558927,0.46860636336961536,,0.211532193677466,2.428532193677466,True,2259.1,True,102.0,B
