,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Total Yearly Cost,Total Cost per kg H2,country_cap_kt,within_cap,cap_rank,Year
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,2827.3686488189364,2.012992833052267,2.7322695225209426,4.477317629656085,,2.012992833052267,NH3,9337.559436742484,,8051971332.209067,184214857.0830539,85817897752.13614,10532485641.659157,53.73717164111815,1.4838692748841569,22014.517868642368,45879459408.546776,5546306090.207103,28.29748005207706,Wind,2590720226.3057156,8137026316.512818,2.0342565791282046,16188997648.721886,4.047249412180472,7433.328206704846,True,436.0,2040
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,2827.3686488189364,,,,,,NH3,9027.95638212686,,,181598342.3241531,84598974373.19789,10382886393.44604,52.973910170643066,1.1603646196107644,28152.07057728497,58670454970.847046,6655440683.363004,33.95633001715819,Wind,2590720226.3057156,9246160909.66872,2.31154022741718,,,7433.328206704846,True,5804.0,2040
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,1569.386846029477,3.0874682734145082,4.616740945949438,8.467048784003747,,3.0874682734145082,NH3,8482.074701911366,,12349873093.658031,213513431.00254977,99466862122.98003,12803212989.747643,65.32251525381452,2.5132741228718345,12997.653685838119,27087821238.87293,4071094276.788494,20.77088916728824,Wind,2609161173.4683623,6680255450.256857,1.6700638625642141,19030128543.914886,4.757532135978723,8522.47753481828,True,2132.0,2040
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,1531.853991161517,1.7714108921930833,2.313807645594246,3.530283775929235,,1.7714108921930833,NH3,8350.733385208914,,7085643568.772333,196195215.05850896,91399038991.51,11764735895.8577,60.02416273396787,2.5132741228718345,12997.653685838119,27087821238.87293,4071094276.788494,20.77088916728824,Wind,2609161173.4683623,6680255450.256857,1.6700638625642141,13765899019.02919,3.4414747547572975,8522.47753481828,True,134.0,2040
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1531.853991161517,1.9435448921930834,2.6150421455942454,4.1757862759292355,,1.9435448921930834,NH3,8259.307115676635,,7774179568.772333,168387055.4019171,78444395485.15836,10097235217.96357,51.516506214099856,0.24317353421849724,134334.79416931482,279961059016.67194,27438258016.271336,139.991112327915,Solar,2609161173.4683623,12706396391.431932,3.176599097857983,20480575960.204266,5.120143990051067,8522.47753481828,True,2805.0,2040
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1276.1199677662548,1.6008788898841217,2.016631864316788,2.6800046992924615,,1.6008788898841217,NH3,8672.988744787363,,6403515559.536487,167703409.64496416,78125913889.277,10056240784.055096,51.30735093905662,0.2331130235683475,140132.3107848111,292043400761.2491,28554746500.315693,145.68748214446785,Solar,2609161173.4683623,12665401957.523458,3.1663504893808647,19068917517.059944,4.767229379264986,8522.47753481828,True,2159.0,2040
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1531.853991161517,1.9907175321930832,2.6975942655942458,4.352683675929235,,1.9907175321930832,NH3,8288.835341844135,,7962870128.772332,168492718.9406182,78493619651.46048,10103571272.725504,51.54883302410972,0.7528427183742403,43391.0906878533,90429406439.17482,9924276708.827585,50.63406484095707,Wind,2609161173.4683623,12533437882.295948,3.133359470573987,20496308011.06828,5.12407700276707,8522.47753481828,True,2810.0,2040
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,811.2908376871048,1.7278513715596173,2.2419115685489435,3.327604946769254,,1.7278513715596173,NH3,8927.649686480703,,6911405486.238469,151691047.21932688,70666432590.25262,8672936602.966179,44.249676545745814,0.8094902834755917,40354.61244378439,84101219686.46234,8860596704.183712,45.20712604175364,Solar,2590720226.3057156,11263656829.271894,2.8159142073179737,18175062315.510365,4.543765578877591,7433.328206704846,True,1617.0,2040
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1097.6824508005077,2.35642727028773,3.3398698738297035,5.70318603054372,,2.35642727028773,NH3,8391.755511965062,,9425709081.15092,142436685.4341186,66355217490.55946,8541135855.500011,43.577223752551085,0.7517865463400301,43452.05008748808,90556449162.42688,9936016298.759,50.69396070795409,Solar,2609161173.4683623,11150297028.968374,2.7875742572420936,20576006110.119293,5.144001527529824,8522.47753481828,True,2838.0,2040
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,2248.198726881724,2.682294526552129,3.9051790909635455,6.971309467695813,,2.682294526552129,NH3,8240.766780394237,,10729178106.208517,158030106.25910664,73619531646.07584,9476186578.64962,48.347890707396026,0.4767952758852406,68512.98307437335,142784804313.00098,14762262592.64212,75.31766628899042,Solar,2609161173.4683623,12085347752.117983,3.0213369380294957,22814525858.3265,5.703631464581624,8522.47753481828,True,3520.0,2040
10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564,85.53439999999999,Ocean / International,USA,North America,North America,,,944.9485761368956,1.6622929964775488,2.1261527414159733,3.0909994620352164,,1.6622929964775488,NH3,9408.69804215648,,6649171985.910195,125993967.80760872,58695251935.21405,7203705921.889944,36.753601642295635,2.5132741228718345,12997.653685838119,27087821238.87293,3916842937.43388,19.98389253792796,Wind,2590720226.3057156,6507563163.739595,1.6268907909348989,13156735149.649792,3.2891837874124477,7433.328206704846,True,111.0,2040
11,-123.0,39.0,1774.6299958229065,160.85782,25477,-122.36638765475,38.074189145000005,116.67709047085316,150.1059,United States of America,USA,North America,North America,,,944.9485761368956,1.7139501964775488,2.216552841415973,3.2847139620352164,,1.7139501964775488,NH3,9331.484763346267,,6855800785.910195,110445557.92550638,51451906471.123856,6314725486.614624,32.21798717660523,0.5053497455844693,64641.70003466723,134716838703.26193,13249585327.63346,67.59992514098704,Solar,2590720226.3057156,8905445712.92034,2.226361428230085,15761246498.830536,3.9403116247076335,7433.328206704846,True,330.0,2040
12,-123.0,44.0,1353.0550062656405,105.11874,3772,-124.19684561280556,43.394895000000005,117.59287355246934,177.7877,United States of America,USA,North America,North America,,,5415.9215623827695,1.7771742573578784,2.3147401061002437,3.6435203955605124,,1.7771742573578784,NH3,8947.106346431403,,7108697029.431514,144857377.6323769,67482915434.41133,8282221500.26443,42.25623214420628,0.33024026133861556,98917.88037671013,206150273406.03912,19443731291.557568,99.20271067121209,Solar,2590720226.3057156,10872941726.570145,2.7182354316425363,17981638756.00166,4.4954096890004145,7433.328206704846,True,1501.0,2040
13,-123.0,45.0,1322.7600264549255,112.130135,3674,-122.768689375,45.58885,67.91199946917735,82.4316,United States of America,USA,North America,North America,,,858.2493747039987,1.6575665520762497,2.11853295459811,3.067433851701827,,1.6575665520762497,NH3,8870.659011075142,,6630266208.304999,148175025.00834674,69028466796.53766,8471908010.379823,43.224020461121555,0.3522672083620318,92732.63559943537,193259884964.00488,18325978129.136326,93.49988841396086,Solar,2590720226.3057156,11062628236.68554,2.7656570591713847,17692894444.99054,4.423223611247634,7433.328206704846,True,1297.0,2040
14,-123.0,46.0,1204.1350090503693,161.96089,4038,-122.95979285813186,46.116775,13.347513630298392,29.5285,United States of America,USA,North America,North America,,,824.581988729039,1.6143111258339298,2.0431063975834123,2.7921612590514227,,1.6143111258339298,NH3,8794.3855701907,,6457244503.335719,162772445.38764277,75828786539.42671,9306515614.699604,47.482222523977576,0.5088151421928646,64201.44362426321,133799320262.4309,13170025340.482533,67.1940068391966,Solar,2590720226.3057156,11897235841.00532,2.9743089602513297,18354480344.341038,4.5886200860852595,7433.328206704846,True,1745.0,2040
15,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,1067.5538046579716,1.711750388419981,2.211874758862713,3.283933060502499,,1.711750388419981,NH3,8491.309388220516,,6847001553.679924,172775513.01462582,80488791972.2844,10360386614.333189,52.85911537925097,0.31675726823571854,103128.38865107711,214925202960.0645,21428513723.964874,109.32915165288203,Solar,2609161173.4683623,12969547787.801552,3.242386946950388,19816549341.481476,4.954137335370369,8522.47753481828,True,2527.0,2040
16,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234,718.795,Canada,CAN,North America,North America,,,1067.5538046579716,2.1717478284199814,3.016870278862713,5.0089234605024995,,2.1717478284199814,NH3,8266.526981475687,,8686991313.679926,156601433.9171556,72953973726.89246,9390517043.947878,47.91080124463204,0.4493109268916041,72703.92218737977,151518950664.33902,15569355623.560875,79.4354878753106,Solar,2609161173.4683623,11999678217.41624,2.99991955435406,20686669531.09617,5.171667382774041,8522.47753481828,True,2887.0,2040
17,-122.0,37.0,1729.369969367981,47.989758,17916,-122.3300105515,37.7191834425,85.00376909053449,116.2179,United States of America,USA,North America,North America,,,944.6844328392004,1.686833275524443,2.169100124818973,3.1830084776971534,,1.686833275524443,NH3,9421.854406135268,,6747333102.097772,113336072.36838427,52798474694.97851,6479990668.526056,33.06117688023499,0.15076427118035202,216673.79420147304,451560038937.8571,40723737145.97819,207.77416911213365,Solar,2590720226.3057156,9070710894.831772,2.267677723707943,15818043996.929543,3.9545109992323857,7433.328206704846,True,340.0,2040
18,-122.0,38.0,1802.3700737953184,103.83032,6756,-122.0517320178623,38.02614,5.390433671432809,10.3994,United States of America,USA,North America,North America,,,957.2306760829856,1.6024862204386578,2.0214033303684005,2.699476368402578,,1.6024862204386578,NH3,9345.334938500697,,6409944881.754632,108745702.5888559,50660015883.23102,6217536246.779875,31.72212370806059,0.3261925705318774,100145.34240740561,208708371418.8528,19665549443.622097,100.33443593684746,Solar,2590720226.3057156,8808256473.08559,2.2020641182713976,15218201354.840221,3.8045503387100554,7433.328206704846,True,249.0,2040
19,-122.0,39.0,1744.7000765800476,185.19633,6367,-121.55685725036533,38.561485000000005,62.068078726904595,88.3448,United States of America,USA,North America,North America,,,999.4281347506984,1.6658489129037577,2.1319953367171895,3.1077563346668136,,1.6658489129037577,NH3,9268.910593604416,,6663395651.615031,112340225.48116018,52334551818.73596,6423053116.32716,32.77067916493449,0.581811429799791,56146.48491506552,117012345714.94125,11714390859.619652,59.76730030418191,Solar,2590720226.3057156,9013773342.632875,2.253443335658219,15677168994.247906,3.9192922485619768,7433.328206704846,True,315.0,2040
20,-122.0,40.0,1724.989938735962,262.91464,6367,-121.55685725036533,38.561485000000005,164.2177668177324,179.1987,United States of America,USA,North America,North America,,,999.4281347506984,1.7385320329037575,2.2591907967171894,3.380318034666814,,1.7385320329037575,NH3,9192.594064458259,,6954128131.61503,113623851.13018389,52932538628.50924,6496444421.087732,33.14512459738639,0.8259707015452055,39549.42542823211,82423165903.19328,8715089070.228662,44.464740154227876,Solar,2590720226.3057156,9087164647.393448,2.271791161848362,16041292779.008478,4.01032319475212,7433.328206704846,True,384.0,2040
21,-122.0,42.0,1651.990008354187,80.47385,3772,-124.19684561280556,43.394895000000005,237.5009999508732,407.2945,United States of America,USA,North America,North America,,,5415.9215623827695,1.9607796973578784,2.636049626100244,4.332040795560513,,1.9607796973578784,NH3,9040.335979835407,,7843118789.431514,118644785.38539533,55271579188.84617,6783516369.507651,34.6097773954472,0.25281605596608697,129211.20275307438,269283214250.32285,24918123673.057823,127.1332840462134,Solar,2590720226.3057156,9374236595.813366,2.3435591489533416,17217355385.24488,4.30433884631122,7433.328206704846,True,967.0,2040
22,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,Canada,CAN,North America,North America,,,1067.5538046579716,2.5204564684199813,3.627110398862713,6.3165808605025,,2.5204564684199813,NH3,7997.280686276632,,10081825873.679926,155153512.48096964,72279448470.18253,9303693248.119839,47.46782269448898,0.5893295437631703,55430.22068446341,115519611879.48842,12242778041.484404,62.46315327287962,Solar,2609161173.4683623,11912854421.588202,2.9782136053970505,21994680295.268127,5.498670073817031,8522.47753481828,True,3325.0,2040
23,-121.0,36.0,1850.1849150657647,43.310562,4731,-121.33982489431968,37.95234,218.7673144923872,318.1805,United States of America,USA,North America,North America,,,987.796868287881,1.849444362560735,2.4533668386071636,3.7955233051890707,,1.849444362560735,NH3,9432.962627921039,,7397777450.24294,105935357.27375291,49350795059.68491,6056854735.265951,30.90232007788751,0.13606414340204526,240082.84511917658,500345781500.0956,44954053266.80139,229.35741462653775,Solar,2590720226.3057156,8647574961.571667,2.161893740392917,16045352411.814606,4.011338102953652,7433.328206704846,True,386.0,2040
24,-121.0,37.0,1846.1700320243835,168.25212,4731,-121.33982489431968,37.95234,109.88775187619235,125.1116,United States of America,USA,North America,North America,,,987.796868287881,1.6949892425607351,2.1830703786071637,3.216316605189071,,1.6949892425607351,NH3,9357.125224081128,,6779956970.242941,106165735.87486945,49458118690.080185,6070026633.270418,30.969523639134792,0.5285796241429083,61800.84357136478,128796338441.9664,12736206082.319225,64.98064327713891,Solar,2590720226.3057156,8660746859.576134,2.1651867148940336,15440703829.819075,3.8601759574547687,7433.328206704846,True,273.0,2040
25,-121.0,38.0,1774.265022277832,112.58099,4731,-121.33982489431968,37.95234,30.32231572321424,40.3395,United States of America,USA,North America,North America,,,987.796868287881,1.627171562560735,2.0643894386071637,2.883785836449168,,1.627171562560735,NH3,9281.382767812609,,6508686250.24294,110468277.02682872,51462490337.94748,6316024451.379234,32.22461454785324,0.353683611117866,92361.26764092672,192485933825.04755,18258867169.911224,93.15748556077156,Solar,2590720226.3057156,8906744677.68495,2.2266861694212374,15415430927.92789,3.8538577319819725,7433.328206704846,True,269.0,2040
