corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.734506640732681,4.729798375646293,3.8257341732162526,5.295916577750372,1.8351973942543727,3.0068482379119574,0.5999694628032692,1.5671986811187286,MAR,H2 Gas,522,#E63946,Intermediate,2040
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.418239252728737,4.919806001589638,4.408742912384465,5.923503678177938,1.7411430535621824,2.682365166474252,0.21629999999999996,2.012462281812983,MAR,NH3,1508,#F4A261,Intermediate,2040
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,131,3.3594403419903625,5.273339157539002,4.566497501345873,6.371229416461201,1.5912576559875038,2.884067463295452,1.572397422261285,2.188343432260829,USA,NH3,5535,#2196F3,Intermediate,2040
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.747554297693454,5.019597168916162,4.407321179067618,5.290416081421014,1.6700638625642144,2.6560328552519397,0.8174036413688548,2.2533403064033832,GBR,NH3,216,#4CAF50,Intermediate,2040
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.9325886886816273,6.0906993475199815,4.889659196576138,7.354944003322282,2.00012833414557,3.079557444259632,0.6493595721292902,2.5440020189507107,TUR,NH3,708,#9C27B0,Intermediate,2040
EU,EU Domestic,EU Domestic Production,,,27,23,1.6662238151860491,3.447669516972194,3.0750795018962034,4.04463647578592,1.6662238151860491,3.447669516972194,0.0,0.0,-99,Domestic,328,#009688,Intermediate,2040
