corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
EU,EU Domestic,EU Domestic Production,,,27,23,1.7152200176033814,3.1180166008847796,2.8276357410920627,3.4924733644556696,1.7152200176033814,3.1180166008847796,0.0,0.0,IRL,Domestic,316,#009688,Ambitious,2035
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.6468848974409878,3.7739392311886713,3.3951556381067474,4.653352198089788,1.604075518212383,2.113768879498142,0.5999694628032692,1.56531666986788,MAR,H2 Gas,520,#E63946,Ambitious,2040
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.3308658491279597,4.360635224466788,4.108869070862376,4.952125612552014,1.608627719103822,2.5208720831153686,0.21629999999999996,1.7724870839411706,MAR,NH3,1538,#F4A261,Ambitious,2040
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.217588837994601,4.839653313302271,4.321171690314452,5.6810972529046655,1.3111390130119753,2.5262026530109196,1.572397422261285,2.1892680851560606,JPN,NH3,5521,#2196F3,Ambitious,2040
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.6509877458085054,4.299060120287109,3.9887722507893786,4.439967494455885,1.5032762345551445,2.401537279520567,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2040
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.426191987440137,4.172386701858262,3.899493584657257,5.5913309122447075,1.3404156579157143,2.701849942979946,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Ambitious,2040
EU,EU Domestic,EU Domestic Production,,,27,23,1.607303814080115,2.912614780969805,2.5823735998777346,3.192015684229255,1.607303814080115,2.912614780969805,0.0,0.0,IRL,Domestic,328,#009688,Ambitious,2040
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.5226781451180535,3.5533562533460072,3.1633781576382165,4.321733221387822,1.503436466105039,1.881581546918725,0.5999694628032692,1.569074985112832,DZA,H2 Gas,525,#E63946,Ambitious,2045
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.1088941430345614,4.081649170719649,3.847925266062459,4.611011721363503,1.5067556073857336,2.2467369169663898,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Ambitious,2045
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.1283314173628747,4.568510395406772,4.071699883714389,5.335551780326795,1.2288390659918493,2.253438468572045,1.572397422261285,2.189011238157981,JPN,NH3,5528,#2196F3,Ambitious,2045
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.54587142037309,4.04789964082877,3.8676366169008425,4.170349531753776,1.4107047858624022,2.152666172078208,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2045
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.322557724055554,3.923361353574461,3.677170860078478,5.322689276537225,1.2570414609632254,2.411750362323081,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Ambitious,2045
EU,EU Domestic,EU Domestic Production,,,27,23,1.5135392138788983,2.6427879951358815,2.3457215840208647,2.945276650183499,1.5135392138788983,2.6427879951358815,0.0,0.0,IRL,Domestic,328,#009688,Ambitious,2045
