,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,213513431.00254977,99466862122.98003,11818994635.780798,60.30099303969796,2.5132741228718345,12997.653685838119,27087821238.87293,3815921953.5045633,19.468989558696755,Wind,2197182984.716015,6013104938.220578,1.5032762345551445,3598.384492007377,1.7742043814814203,2.1444116112829645,2.9558198363485335,,1.7742043814814203,NH3,7343.492895910329,,7096817525.925681,13109922464.14626,3.2774806160365646,0.5509999999999999,0.26676779370091314,0.28423101723040306,0.31688926521925204,,0.26676779370091314,0.8177677937009131,True,8522.5,True,15.0,D
1,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,196195215.05850896,91399038991.51,10860348145.099527,55.409939515813925,2.5132741228718345,12997.653685838119,27087821238.87293,3815921953.5045633,19.468989558696755,Wind,2197182984.716015,6013104938.220578,1.5032762345551445,3598.384492007377,1.7742043814814203,2.1444116112829645,2.9558198363485335,,1.7742043814814203,NH3,7370.25796783351,,7096817525.925681,13109922464.14626,3.2774806160365646,0.5509999999999999,0.26676779370091314,0.28423101723040306,0.31688926521925204,,0.26676779370091314,0.8177677937009131,True,8522.5,True,16.0,D
2,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,168387055.4019171,78444395485.15836,9321032851.120338,47.55629005673643,0.24317353421849724,134334.79416931482,279961059016.67194,24800972675.810112,126.53557487658222,Solar,2197182984.716015,11518215835.836353,2.879553958959088,2340.402689217917,1.7640651196195982,2.12976889719275,2.8870126237240936,,1.7640651196195982,NH3,7313.414433506537,,7056260478.478393,18574476314.314747,4.643619078578686,2.217,0.2171477909132814,0.2542471492438942,0.47475728698506575,,0.2171477909132814,2.4341477909132814,True,8522.5,True,199.0,D
3,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,167703409.64496416,78125913889.277,9283189772.601757,47.363213125519174,0.2331130235683475,140132.3107848111,292043400761.2491,25803643249.34457,131.65124106808457,Solar,2197182984.716015,11480372757.317772,2.870093189329443,2302.8698343499573,1.6197853168841623,2.045618302195287,2.80085311135952,,1.6197853168841623,NH3,7879.135368918738,,6479141267.536649,17959514024.85442,4.489878506213605,2.217,0.21486181193719153,0.2517414259326365,0.4722529824558603,,0.21486181193719153,2.4318618119371918,True,8522.5,True,179.0,D
4,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,168492718.9406182,78493619651.46048,9326881835.848099,47.58613181555153,0.7528427183742403,43391.0906878533,90429406439.17482,9072414850.659508,46.28783087071178,Wind,2197182984.716015,11269597835.375523,2.8173994588438807,2302.8698343499573,1.7636853168841622,2.12921857575434,2.884486080099422,,1.7636853168841622,NH3,7382.907234584961,,7054741267.536649,18324339102.91217,4.581084775728042,0.5509999999999999,0.18782445382735655,0.19774142593263647,0.2311790830195836,,0.18782445382735655,0.7388244538273565,True,8522.5,True,192.0,D
5,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,142436685.4341186,66355217490.55946,7884555145.686085,40.22732217186778,0.7517865463400301,43452.05008748808,90556449162.42688,9082957674.4663,46.34162078809337,Solar,2197182984.716015,10081738130.4021,2.520434532600525,2047.1358109546952,1.7609221227868765,2.1252115759313006,2.866194348911454,,1.7609221227868765,NH3,7549.548199105002,,7043688491.147506,17125426621.549606,4.281356655387402,2.217,0.19928879971213906,0.2346684186658684,0.4552074979138716,,0.19928879971213906,2.416288799712139,True,8522.5,True,99.0,D
6,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,158030106.25910664,73619531646.07584,8747725936.481936,44.63125477796907,0.4767952758852406,68512.98307437335,142784804313.00098,13417203131.23725,68.4551180165166,Solar,2197182984.716015,10944908921.19795,2.7362272302994874,2302.8698343499573,1.7832512079303369,2.1427804614302377,2.8980479657753198,,1.7832512079303369,NH3,7352.50246238043,,7133004831.721348,18077913752.919296,4.519478438229824,2.217,0.21486181193719153,0.2517414259326365,0.4722529824558603,,0.21486181193719153,2.4318618119371918,True,8522.5,True,184.0,D
7,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,172775513.01462582,80488791972.2844,9563955072.642488,48.79568914613515,0.31675726823571854,103128.38865107711,214925202960.0645,19403878265.543934,98.99937890583641,Solar,2197182984.716015,11761138057.358503,2.9402845143396257,1582.3066808755452,1.7260266796929913,2.1164443035234326,2.8267282982228337,,1.7260266796929913,NH3,7714.1780217913565,,6904106718.771965,18665244776.13047,4.666311194032617,2.217,0.1709951176587737,0.2036360553913858,0.42430468803102395,,0.1709951176587737,2.387995117658774,True,8522.5,True,202.0,D
8,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234,718.795,Canada,CAN,North America,North America,,,156601433.9171556,72953973726.89246,8668642055.591995,44.22776558975509,0.4493109268916041,72703.92218737977,151518950664.33902,14142018876.112251,72.15315753118497,Solar,2197182984.716015,10865825040.30801,2.7164562600770026,1868.698293988948,1.775883301319654,2.1332026319542035,2.863234567361294,,1.775883301319654,NH3,7419.432027305218,,7103533205.278616,17969358245.586624,4.492339561396657,2.217,0.18842561891339774,0.22275578778721664,0.4433324846542446,,0.18842561891339774,2.405425618913398,True,8522.5,True,181.0,D
9,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,Canada,CAN,North America,North America,,,155153512.48096964,72279448470.18253,8588492644.817414,43.81884002457865,0.5893295437631703,55430.22068446341,115519611879.48842,11154561773.06615,56.91102945441914,Solar,2197182984.716015,10785675629.533428,2.696418907383357,3019.214570070164,1.9224770551521462,2.284851698671861,3.073756301738076,,1.9224770551521462,NH3,7095.769241191787,,7689908220.608584,18475583850.142014,4.618895962535503,2.217,0.2585093621776692,0.2995651715417972,0.5201658226782927,,0.2585093621776692,2.4755093621776694,True,8522.5,True,197.0,D
10,-121.0,50.0,1335.5349707603457,87.76631,2586,-122.71542696864113,48.8319,179.90961052059174,241.1656,Canada,CAN,North America,North America,,,146757669.61640355,68368180964.926476,8123742388.530352,41.447665247603844,0.27572599472868436,118475.10677696824,246908602983.2899,22058066892.451683,112.54115761454942,Solar,2197182984.716015,10320925373.246367,2.5802313433115915,1715.964419325336,1.7567863449722254,2.119204660198672,2.8390804379819015,,1.7567863449722254,NH3,7646.301600470817,,7027145379.888902,17348070753.13527,4.337017688283817,2.217,0.17912911165375575,0.21255915255896957,0.4331800453002204,,0.17912911165375575,2.3961291116537557,True,8522.5,True,129.0,D
11,-121.0,52.0,1255.964994430542,116.29771,2586,-122.71542696864113,48.8319,372.8770218000093,513.7024,Canada,CAN,North America,North America,,,156055304.7809003,72699555298.77681,8638411182.988165,44.07352644381717,0.3653600313653162,89409.52447533573,186334339610.8001,17031224192.493996,86.89400098211223,Solar,2197182984.716015,10835594167.70418,2.708898541926045,1715.964419325336,1.7567863449722254,2.119204660198672,2.8390804379819015,,1.7567863449722254,NH3,7451.692667680156,,7027145379.888902,17862739547.593082,4.46568488689827,2.217,0.17912911165375575,0.21255915255896957,0.4331800453002204,,0.17912911165375575,2.3961291116537557,True,8522.5,True,173.0,D
12,-121.0,55.0,1218.7349951267242,554.7777,1934,-123.2597273115,49.1586226685,668.0754811125216,1209.0413999999998,Canada,CAN,North America,North America,,,160822492.81733298,74920386245.60614,8902297953.791279,45.41988751934326,1.742885546695442,18742.86394112542,39061153667.67327,4809546231.587266,24.53850118156769,Wind,2197182984.716015,7006729216.303281,1.7516823040758203,6186.93740557121,1.9003484818157372,2.270089958970384,3.156156551482376,,1.9003484818157372,NH3,7161.166196238053,,7601393927.262949,14608123143.56623,3.6520307858915575,0.5509999999999999,0.42487253520559076,0.45704487327091203,0.49055484926518217,,0.42487253520559076,0.9758725352055907,True,8522.5,True,33.0,D
13,-121.0,56.0,1325.679988861084,338.51837,1934,-123.2597273115,49.1586226685,776.4415009680994,1179.1603,Canada,CAN,North America,North America,,,147848652.5005082,68876423671.73058,8184133534.859723,41.755783341121045,1.0634868242971915,30716.56923277308,64015010444.18458,6880378063.27512,35.10396971058735,Wind,2197182984.716015,9077561047.991135,2.2693902619977835,1629.265217892439,1.912153162217555,2.268016417994707,2.981752499955601,,1.912153162217555,NH3,7064.740955796572,,7648612648.87022,16726173696.861355,4.181543424215338,0.5509999999999999,0.1468262993503159,0.1527710447568293,0.18692661502082172,,0.1468262993503159,0.6978262993503158,True,8522.5,True,66.0,D
14,-120.0,51.0,1263.2649874687197,420.51483,2586,-122.71542696864113,48.8319,310.097848497011,404.6159,Canada,CAN,North America,North America,,,155153512.48096964,72279448470.18253,8588492644.817414,43.81884002457865,1.321086300653561,24727.125434959078,51532681953.448204,5844514012.130442,29.81894904148185,Wind,2197182984.716015,8041696996.846457,2.010424249211614,1595.5978319174794,1.7550838652331704,2.116729040473628,2.8279995985341815,,1.7550838652331704,NH3,7514.592373452046,,7020335460.932682,15062032457.779139,3.7655081144447844,0.5509999999999999,0.1447780438199929,0.15052338323032544,0.18472040833560022,,0.1447780438199929,0.6957780438199929,True,8522.5,True,43.0,D
15,-120.0,56.0,1315.460033416748,276.43353,1934,-123.2597273115,49.1586226685,792.4853485561343,1238.555,Canada,CAN,North America,North America,,,148997305.14116323,69411532274.96346,8247716979.397764,42.080188670396765,0.8684415470538938,37615.27390932097,78392288341.78815,8073497226.778716,41.19131238152407,Wind,2197182984.716015,10270680211.494732,2.567670052873683,1838.569647846412,1.9214010554544263,2.2785479898126217,3.006637991937167,,1.9214010554544263,NH3,7033.160708895235,,7685604221.817705,17956284433.31244,4.489071108328109,0.5509999999999999,0.1595618150814822,0.1667443753529221,0.200654110128277,,0.1595618150814822,0.7105618150814821,True,8522.5,True,178.0,D
16,-119.0,50.0,1262.900013923645,78.93766,4933,-122.2207911642127,47.998295,324.1312522969089,507.6884,Canada,CAN,North America,North America,,,155198351.2859872,72300336969.86845,8590974688.188122,43.831503511163895,0.24798997274756882,131725.7561051404,274523680979.3747,24349744009.179535,124.23338780193642,Solar,2197182984.716015,10788157672.904137,2.697039418226034,1838.569647846412,1.7584029106616956,2.121553850390168,2.8496438525147134,,1.7584029106616956,NH3,7576.035566237983,,7033611642.646783,17821769315.55092,4.455442328887729,2.217,0.1865916328029519,0.2207443753529221,0.44132891491425236,,0.1865916328029519,2.403591632802952,True,8522.5,True,168.0,D
17,-119.0,51.0,1138.070011138916,58.08466,2586,-122.71542696864113,48.8319,359.5847087803703,528.5256999999999,Canada,CAN,North America,North America,,,172221390.67161104,80230649847.7674,9533281737.626015,48.63919253890825,0.18247834114226094,179016.67925181094,373080551579.3385,32528628207.234932,165.96238881242314,Solar,2197182984.716015,11730464722.34203,2.9326161805855073,1715.7002760276407,1.7567827400940668,2.11919941992104,2.8390569286305043,,1.7567827400940668,NH3,7479.687539726125,,7027130960.376267,18757595682.718296,4.689398920679574,2.217,0.17911303542681759,0.21254151814184685,0.4331624968910668,,0.17911303542681759,2.3961130354268176,True,8522.5,True,205.0,D
18,-119.0,53.0,1010.685019493103,18.621315,2586,-122.71542696864113,48.8319,532.0655018576994,708.2498,Canada,CAN,North America,North America,,,193927876.85554242,90342782177.30544,10734840077.843363,54.76959223389472,0.05850058640418141,558398.9610116415,1163733978566.9458,98142144350.36684,500.7252262773819,Solar,2197182984.716015,12932023062.559378,3.2330057656398443,1728.2465192714258,1.8157835658494244,2.1722736361154027,2.892996054455758,,1.8157835658494244,NH3,7287.57174699972,,7263134263.397697,20195157325.957077,5.048789331489269,2.217,0.17987662754996767,0.2133791153423598,0.4339960453837024,,0.17987662754996767,2.3968766275499678,True,8522.5,True,213.0,D
19,-119.0,55.0,1306.3349986076355,196.52533,2586,-122.71542696864113,48.8319,732.100719773948,1163.0579,Canada,CAN,North America,North America,,,150038083.80615056,69896386962.95541,8305329080.89771,42.37412796376383,0.6174025329723098,52909.83583984056,110266992000.97179,10718665528.986267,54.687069025440145,Solar,2197182984.716015,10502512065.613724,2.625628016403431,1770.4439779391384,1.8963626342384874,2.2531088711653595,2.9766987077444,,1.8963626342384874,NH3,7096.31073261019,,7585450536.95395,18087962602.567673,4.521990650641918,2.217,0.18244494269533015,0.2161962513217969,0.436800111215179,,0.18244494269533015,2.39944494269533,True,8522.5,True,185.0,D
20,-119.0,56.0,1254.8699867725372,309.1046,1934,-123.2597273115,49.1586226685,813.8295377490297,1303.5885,Canada,CAN,North America,North America,,,156191479.64810455,72762993400.43262,8645949116.398058,44.1119852877452,0.9710807405508115,33639.49597861208,70106549663.44191,7385893240.034768,37.6831287756876,Wind,2197182984.716015,9583076224.750782,2.3957690561876954,1770.4439779391384,1.9290541614285202,2.2858003983553923,3.0093902349344326,,1.9290541614285202,NH3,7001.03322704628,,7716216645.714081,17299292870.464863,4.324823217616215,0.5509999999999999,0.15541623100342233,0.1621962513217969,0.19618375350529194,,0.15541623100342233,0.7064162310034223,True,8522.5,True,122.0,D
21,-118.0,56.0,1322.0299923419952,232.4707,2586,-122.71542696864113,48.8319,859.2413653763334,1322.0539,Canada,CAN,North America,North America,,,148256848.28283143,69066584793.72128,8206729133.361297,41.871067006945395,0.7303282432948768,44728.74624058212,93217153779.37238,9303760088.49137,47.46816371679271,Solar,2197182984.716015,10403912118.077312,2.6009780295193283,6186.93740557121,1.976814835521262,2.346556312675909,3.2326229051879007,,1.976814835521262,NH3,6968.3632762297575,,7907259342.085048,18311171460.16236,4.577792865040591,2.217,0.4519731370419195,0.511044873270912,0.7350199222528662,,0.4519731370419195,2.6689731370419194,True,8522.5,True,191.0,D
22,-117.0,55.0,1274.5800375938416,185.77676,2586,-122.71542696864113,48.8319,790.376712717338,1154.8342,Canada,CAN,North America,North America,,,153776141.33201846,71637789603.47047,8512248531.5337925,43.42983944660099,0.5836349044237141,55971.06413455857,116646759213.03796,11248099721.857841,57.388263887029815,Solar,2197182984.716015,10709431516.249807,2.677357879062452,1838.569647846412,1.9205576011189076,2.2777045354771035,3.005794537601649,,1.9205576011189076,NH3,7029.252978299132,,7682230404.475631,18391661920.725437,4.59791548018136,2.217,0.1865916328029519,0.2207443753529221,0.44132891491425236,,0.1865916328029519,2.403591632802952,True,8522.5,True,195.0,D
