ISO_A3,Year,Capacity_kt,Source
BTN,2021,0.0,Theoretical growth
TWN,2021,0.0,Theoretical growth
DOM,2021,0.0,Theoretical growth
ISR,2021,0.0,Theoretical growth
ARM,2021,0.0,Theoretical growth
GNB,2021,0.0,Theoretical growth
SLB,2021,0.0,Theoretical growth
SWZ,2021,0.0,Theoretical growth
MKD,2021,0.0,Theoretical growth
ALB,2021,0.0,Theoretical growth
HTI,2021,0.0,Theoretical growth
FJI,2021,0.0,Theoretical growth
GNQ,2021,0.0,Theoretical growth
SVN,2021,0.6,IEA-anchored growth
BDI,2021,0.0,Theoretical growth
RWA,2021,0.0,Theoretical growth
BHS,2021,0.0,Theoretical growth
NCL,2021,0.0,Theoretical growth
FLK,2021,0.0,Theoretical growth
BLZ,2021,0.0,Theoretical growth
SLV,2021,0.0,Theoretical growth
GMB,2021,0.0,Theoretical growth
JAM,2021,0.0,Theoretical growth
ATF,2021,0.0,Theoretical growth
MNE,2021,0.0,Theoretical growth
TLS,2021,0.0,Theoretical growth
TTO,2021,0.0,Theoretical growth
BRN,2021,0.0,Theoretical growth
VUT,2021,0.0,Theoretical growth
LBN,2021,0.0,Theoretical growth
PRI,2021,0.0,Theoretical growth
PSE,2021,0.0,Theoretical growth
CYP,2021,0.0,Theoretical growth
LUX,2021,0.0,Theoretical growth
CHN,2022,255.1,IEA-anchored growth
AUS,2022,433.4,IEA-anchored growth
RUS,2022,44.9,Theoretical growth
CAN,2022,33.8,IEA-anchored growth
KAZ,2022,32.5,Theoretical growth
USA,2022,105.8,IEA-anchored growth
DZA,2022,27.6,Theoretical growth
ATA,2022,22.0,Theoretical growth
LBY,2022,19.1,Theoretical growth
SAU,2022,116.8,IEA-anchored growth
IND,2022,54.8,IEA-anchored growth
MRT,2022,12.6,IEA-anchored growth
BRA,2022,86.4,IEA-anchored growth
ZAF,2022,17.4,IEA-anchored growth
MEX,2022,8.9,IEA-anchored growth
ARG,2022,8.5,IEA-anchored growth
EGY,2022,28.8,IEA-anchored growth
MAR,2022,105.1,IEA-anchored growth
PER,2022,5.5,IEA-anchored growth
GBR,2022,14.3,IEA-anchored growth
MNG,2022,4.9,Theoretical growth
PAK,2022,4.9,Theoretical growth
