,Country code,Risk Free,Country Risk,Equity Risk,Lenders Margin,Technology Risk,Equity Cost,Debt Cost,WACC,Debt Share,Tax Rate,Year
1,ABD,4.5,0.5247745320780438,0.9143869179271013,1.5776503843292835,3.7723496156707164,14.838788795457765,10.338897842796925,11.289161450005146,78.88251921646417,0.0,2024
2,ALB,4.014956108533172,3.52636484578185,1.2185332591831677,1.2215920229534907,3.5517446838581694,18.97974693833514,13.411969997520455,13.53319092030985,71.85835429138181,15.0,2024
3,AND,4.156283291417236,1.5921092798345862,1.0226814485258517,1.3748668343310546,3.566492189909437,16.313220861482286,11.433097776675757,11.712433044018168,76.3814907961697,10.0,2024
4,AGO,3.765526841061245,6.163011954475907,1.5030944193735016,0.9792975452516738,3.4974954768989166,22.854052473527226,16.287154930159517,15.908426237061246,65.28650301677825,25.0,2024
5,ARG,3.667855454996281,11.635027956253815,2.042262933418346,0.6868494657173556,3.6738231307782225,30.194841908628035,21.734873749896686,21.705818941164022,52.83457428595043,35.0,2024
6,ARM,3.9179473302398073,3.4495776551647213,1.2185332591831677,1.1784770103786617,3.4795270377953313,18.97974693833514,13.411969997520455,13.24406229276169,71.85835429138181,18.0,2024
7,ABW,3.75725695653714,2.0063956794647897,1.081436991723047,1.1703829775778398,3.2965780707496486,17.11317868453814,12.026759442929167,11.312050676052465,75.02454984473333,22.0,2024
8,AUS,3.4199999999999995,0.0,0.8659999999999998,1.1199999999999999,1.6159999999999997,12.43,8.1,7.0219999999999985,80.0,30.0,2024
9,AUT,3.681362892564911,0.35252570683028633,0.9051703621314627,1.2180687395652534,2.3827132096846255,13.76480521537057,9.29727444416894,8.539840910776539,79.09537269904243,23.0,2024
10,AZE,3.831005015762814,2.3319537511835584,1.1113907980588715,1.189324416421664,3.3653148800963475,17.521000319821518,12.329410488470122,11.828988861523257,74.33277602635401,20.0,2024
11,BHS,4.5,4.926004963218048,1.3072426087161868,1.3961927904313225,3.953807209568677,20.18752639667437,14.308282709314819,16.083247571934237,69.80963952156613,0.0,2024
12,BHR,4.5,6.062056746659218,1.4051685140448444,1.3509614253834437,3.9990385746165558,21.520789435100802,15.297718819737169,17.317225260704063,67.54807126917218,0.0,2024
13,BGD,3.664092618043994,5.050103774161672,1.4051685140448444,0.9794470334029967,3.376751968049307,21.520789435100802,15.297718819737169,14.475563907702815,67.54807126917218,27.5,2024
14,BRB,4.235589662782048,6.835426890103632,1.5030944193735016,1.1882143549053643,3.847431133068848,22.854052473527226,16.287154930159517,17.609756460233395,65.28650301677825,9.0,2024
15,BLR,4.05,19.398727498435235,2.598,0.6000000000000001,4.215,37.76121249739206,27.35,30.861727498435236,40.0,25.0,2024
16,BEL,3.6152655857036593,0.5210017909617017,0.9247555431971951,1.1796458857284544,1.9093977091672276,13.474957823055856,8.93866166625341,8.150066514758239,78.64305904856363,25.0,2024
17,BLZ,4.5,8.380815597423084,1.6010203247021593,1.2604986952876862,4.089501304712313,24.187315511953656,17.276591040581863,19.831835922125244,63.024934764384305,0.0,2024
18,BEN,3.5575698664588566,3.9923116367505527,1.3072426087161868,0.9773349533019257,3.2522203323769374,20.18752639667437,14.308282709314819,13.08667939760446,69.80963952156613,30.0,2024
19,BMU,4.5,0.9019381759080152,0.9489490021607455,1.5616863731359143,3.7883136268640856,15.309352220784739,10.688110587651872,11.700887178068761,78.08431865679572,0.0,2024
20,BOL,3.854725753604194,9.95341922252105,1.846411122761031,0.8603656618610747,3.7224749563128,27.528315831775174,19.756001529051986,20.23739671706015,57.35771079073831,25.0,2024
21,BIH,4.206210736424498,6.7934009566269,1.5030944193735016,1.1751570543020087,3.825560154558228,22.854052473527226,16.287154930159517,17.503423321285137,65.28650301677825,10.0,2024
22,BWA,3.73486743083844,1.079159118509052,0.9835110863943889,1.2056634423151855,3.2346789476816262,15.779915646111712,11.03732333250682,10.237880025738693,77.28611809712727,22.0,2024
23,BRA,3.3627085267967836,2.073931700859979,1.1113907980588715,0.9811926435478728,2.4282201683433104,16.73350031982152,11.541910488470123,9.957443837606817,74.33277602635401,34.0,2024
24,BGR,4.156283291417236,1.5921092798345862,1.0226814485258517,1.3748668343310546,2.3380795726683425,14.983220861482284,10.103097776675757,10.484020426777072,76.3814907961697,10.0,2024
25,BFA,3.7200664322907446,7.093649453823392,1.6010203247021593,0.9138615540835725,3.508884093195423,24.187315511953656,17.276591040581863,16.83748185809529,63.024934764384305,27.5,2024
26,KHM,3.8920673585774503,5.326090948479184,1.4051685140448444,1.080769140306755,3.5464664971131024,21.520789435100802,15.297718819737169,15.250562458521339,67.54807126917218,20.0,2024
27,CMR,3.564079718748893,6.836216225103454,1.6010203247021593,0.8445341258427497,3.392760650892045,24.187315511953656,17.276591040581863,16.2386110452893,63.024934764384305,33.0,2024
28,CAN,3.56472,0.0,0.8659999999999998,1.18432,3.053736,14.18,9.85,8.668776,80.0,25.98,2024
29,CPV,3.8489041410364493,5.273837376808402,1.4051685140448444,1.06158548806631,3.514333879610357,21.520789435100802,15.297718819737169,15.103829399566363,67.54807126917218,21.42,2024
30,CYM,4.5,0.6377202146467906,0.9247555431971951,1.5728611809712725,3.777138819028727,14.979957823055857,10.443661666253409,11.412475757843985,78.64305904856363,0.0,2024
31,CHL,3.551275528319932,0.7252412815792388,0.9489490021607455,1.1400310523892174,1.7009893702667283,13.559352220784739,8.938110587651872,8.066486234715862,78.08431865679572,27.0,2024
32,CHN,3.61795951259254,0.6139425692833484,0.9351241684672881,1.1760539832099464,2.7932495976054694,14.70812685065395,10.135425489709894,9.136329831158593,78.4035988806631,25.0,2024
33,COL,3.3078869575998016,1.5454912878694536,1.052635254861677,0.9839663207112748,2.9487437288796006,16.721042496765662,11.735748822216712,9.838723549921808,75.68971697779037,35.0,2024
34,COD,3.6186322092734935,5.952882287092242,1.5030944193735016,0.9140110422348955,3.388140584345813,22.854052473527226,16.287154930159517,15.376760542319946,65.28650301677825,30.0,2024
35,COG,3.7487970840565334,8.679279194259792,1.7484852174323733,0.8585176182211045,3.598385581712774,26.195052793348744,18.766565418629636,18.633464695682576,59.61927904313226,28.0,2024
36,COK,3.871713244305905,4.3035427455730515,1.3072426087161868,1.116954232345058,3.486082624774184,20.18752639667437,14.308282709314819,14.085535455714385,69.80963952156613,20.0,2024
37,CRI,3.5299122170663457,3.1424288926962047,1.2185332591831677,1.0060169600793454,3.1906564535439763,18.97974693833514,13.411969997520455,12.08754778256904,71.85835429138181,30.0,2024
38,CIV,3.6766272537281712,2.7123404516280116,1.1609297854604277,1.0978303283624384,3.2732709621810536,18.19547456279018,12.829948756095545,11.920998781360103,73.1886885574959,25.0,2024
39,HRV,3.8739824434132695,1.1158645630272908,0.9835110863943889,1.2674923367928874,3.3382423459317767,15.779915646111712,11.03732333250682,10.579092775559614,77.28611809712727,18.0,2024
40,CUB,3.667855454996281,11.635027956253815,2.042262933418346,0.6868494657173556,3.6738231307782225,30.194841908628035,21.734873749896686,21.705818941164022,52.83457428595043,35.0,2024
41,CUW,3.75725695653714,2.0063956794647897,1.081436991723047,1.1703829775778398,3.2965780707496486,17.11317868453814,12.026759442929167,11.312050676052465,75.02454984473333,22.0,2024
42,CYP,4.065265585703659,1.166334549239869,0.9835110863943889,1.3525070666997274,1.8997054018632,14.029915646111712,9.28732333250682,9.467323689900844,77.28611809712727,12.5,2024
43,CZE,3.756823091991074,0.5396767387513159,0.9247555431971951,1.2425603329673054,3.2238848986220825,14.979957823055857,10.443661666253409,9.687700605528972,78.64305904856363,21.0,2024
44,DNK,3.708,0.0,0.8659999999999998,1.2480000000000002,1.9260480000000002,12.682,8.352,7.748048,80.0,22.0,2024
45,DOM,3.626920995359711,3.2192160833133334,1.2185332591831677,1.0491319726541743,3.262874099606815,18.97974693833514,13.411969997520455,12.376676410117202,71.85835429138181,27.0,2024
46,ECU,3.854725753604194,9.95341922252105,1.846411122761031,0.8603656618610747,3.7224749563128,27.528315831775174,19.756001529051986,20.23739671706015,57.35771079073831,25.0,2024
