corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
EU,EU Domestic,EU Domestic Production,,,27,23,1.7811901648924415,3.709804763036728,3.373020627985289,4.397559226361249,1.7811901648924415,3.709804763036728,0.0,0.0,-99,Domestic,316,#009688,Ambitious,2035
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.73450664073268,4.636573922414291,3.8230515142129127,5.118222387212118,1.8351973942543722,3.002942256197998,0.5999694628032692,1.56531666986788,MAR,H2 Gas,520,#E63946,Ambitious,2040
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.418239252728737,4.5066872950131565,4.222201176793883,5.621097558154479,1.7411430535621824,2.6939665814339095,0.21629999999999996,1.7724870839411706,MAR,NH3,1538,#F4A261,Ambitious,2040
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.3594403419903616,5.2715346617229155,4.5656639160089565,6.370516311539955,1.5912576559875036,2.883323217975973,1.572397422261285,2.1892680851560606,USA,NH3,5521,#2196F3,Ambitious,2040
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.7475542976934535,4.55118148594952,4.1997725144915465,4.699506845240094,1.670063862564214,2.658775920159333,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2040
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.9325886886816273,5.289999980430448,4.72229291736781,5.762851691127823,2.0001283341455705,3.0798033075409257,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Ambitious,2040
EU,EU Domestic,EU Domestic Production,,,27,23,1.666223815186049,3.4476695169721943,3.075079501896204,4.044636475785919,1.666223815186049,3.4476695169721943,0.0,0.0,-99,Domestic,328,#009688,Ambitious,2040
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.612689251837233,4.326133703841214,3.572855794217161,4.767470804169899,1.7164831935367095,2.6812891450491585,0.5999694628032692,1.569074985112832,MAR,H2 Gas,525,#E63946,Ambitious,2045
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.1873626260025363,4.224522650892464,3.9522997826785957,5.218956272295858,1.546574225174981,2.404972885427278,0.21629999999999996,1.7724870839411706,MAR,NH3,1543,#F4A261,Ambitious,2045
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.2557580887210555,4.9561663556254665,4.2989121010221325,5.987701773370111,1.4875605071663858,2.579962242805885,1.572397422261285,2.189011238157981,USA,NH3,5528,#2196F3,Ambitious,2045
