,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-116.0,31.0,1938.1499791145325,41.59796,4109,-116.62098498204458,31.846935,110.92413185891088,161.43370000000002,Mexico,MEX,North America,North America,,,2827.3686488189364,1.7486780330522664,2.127311716079995,2.886236029656084,,1.7486780330522664,NH3,9459.172089559126,,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,92.0,B
1,-116.0,32.0,1962.969920635224,123.23072,4109,-116.62098498204458,31.846935,61.13083211777302,110.3268,Mexico,MEX,North America,North America,,,2827.3686488189364,1.7077925130522664,2.127311716079995,2.886236029656084,,1.7077925130522664,NH3,9386.527142443949,,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,58.0,B
2,-115.0,31.0,2002.390022277832,152.91353,4109,-116.62098498204458,31.846935,180.4734575237489,252.5849,Mexico,MEX,North America,North America,,,1569.386846029477,1.7496153934145078,2.1072736795084905,2.794875484003746,,1.7496153934145078,NH3,9386.805995788787,,2.217,0.1702089259330129,0.2027735169176863,0.4234472122133932,,0.1702089259330129,2.387208925933013,True,2259.1,True,61.0,B
3,-115.0,32.0,1942.5300097465515,113.28081,4109,-116.62098498204458,31.846935,154.2342521345406,327.2231,Mexico,MEX,North America,North America,,,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9314.846790359112,,2.217,0.167925063467603,0.2002677936064286,0.4209566438295186,,0.167925063467603,2.384925063467603,True,2259.1,True,88.0,B
4,-114.0,27.0,1981.584963798523,283.14896,4618,-115.18546331293643,28.039035,164.23251780616548,193.8654,Mexico,MEX,North America,North America,,,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9600.05847290474,,2.217,0.167925063467603,0.2002677936064286,0.4209566438295186,,0.167925063467603,2.384925063467603,True,2259.1,True,67.0,B
5,-114.0,28.0,1956.765022277832,126.55517,4618,-115.18546331293643,28.039035,116.6631350289475,278.1711,Mexico,MEX,North America,North America,,,1276.1199677662548,1.7447788898841217,2.1002321378758406,2.763637668032364,,1.7447788898841217,NH3,9528.404031203272,,2.217,0.1523664684990496,0.1831947863396605,0.4040046052882615,,0.1523664684990496,2.3693664684990496,True,2259.1,True,74.0,B
6,-112.0,25.0,1953.4800863265991,87.35044,2692,-112.11642416049798,24.783635,26.69819015542594,33.6023,Mexico,MEX,North America,North America,,,1531.853991161517,1.6320308921930833,2.0698926455942455,2.791201875929235,,1.6320308921930833,NH3,9588.882370368028,,2.217,0.167925063467603,0.2002677936064286,0.4209566438295186,,0.167925063467603,2.384925063467603,True,2259.1,True,51.0,B
7,-112.0,26.0,1944.720025062561,120.59638,4520,-112.08568043209875,27.189085,132.02340953042744,243.1007,Mexico,MEX,North America,North America,,,811.2908376871048,1.734209531559617,2.0848136221079963,2.696223046769254,,1.734209531559617,NH3,9518.28899244151,,2.217,0.1240989746395439,0.1521624230651779,0.3732709927852914,,0.1240989746395439,2.341098974639544,True,2259.1,True,73.0,B
8,-112.0,29.0,1946.9100403785703,133.95264,2922,-110.87482812626264,27.9124,163.31869329940147,264.32809999999995,Mexico,MEX,North America,North America,,,1097.6824508005077,1.7412614302877296,2.095104927388756,2.7410891305437195,,1.7412614302877296,NH3,9307.033529412352,,2.217,0.1415133433563236,0.1712821554610088,0.392194642489606,,0.1415133433563236,2.3585133433563237,True,2259.1,True,78.0,B
9,-112.0,31.0,1938.8799262046807,89.07595,2922,-110.87482812626264,27.9124,359.21658129796447,452.2034,Mexico,MEX,North America,North America,,,2248.198726881724,1.7580401265521288,2.1195091645225985,2.850130467695813,,1.7580401265521288,NH3,9166.763686933527,,2.217,0.211532193677466,0.2480915392155892,0.4686063633696153,,0.211532193677466,2.428532193677466,True,2259.1,True,102.0,B
